label,seed,split,n,mixture_logits_acc,S_all,S_easy,S_chosen_vs_hops,S_oracle_vs_hops,AUC_h_ge_6,AUC_h_ge_7,AUC_h_ge_8,AUC_h_ge_9,MACRO_AUC,bucket_spread,delta_h9,m_56,m_67,m_78,m_89,adjacent_margin_mean,adjacent_margin_min,chosen_step_entropy_bits,dominant_chosen_step_mass,chosen_step_distinct,E_step_mean,E_step_std,floor_mass_mean,final_mass_mean,floor_mass_max,final_mass_max,flag_hard_floor,flag_hard_final,flag_soft_middle_step,flag_binary_h9_shortcut,flag_ordinal_healthy,flags_concat
rgcn_h6_baseline,1,ood_mixed,512,0.892578125,0.6889751737066123,-0.08033032975390511,0.854886445447628,0.24776694229955956,0.7227017077410778,0.7283646588164251,0.8851260687761343,1.0,0.8340481088334093,1.1953100429334471,1.1943269103177987,-0.0007073477276389184,0.0015536364387060964,-0.0014164447784423828,1.1951728512731834,0.29865067380145205,-0.0014164447784423828,1.0835684879811667,0.65234375,3,3.4163814950734377,0.5817871045857224,0.00012777981578437902,0.0,,,False,False,False,True,False,binary_h9_shortcut
rgcn_h6_baseline,1,val,512,0.849609375,0.7286942129075085,0.026989035435102417,0.8610307846162649,0.26356657322435684,0.7381949926123829,0.7612658133093795,0.9500534060293016,1.0,0.862378552987766,1.1806165826035535,1.1787880868146394,-0.0006237414891026027,0.0011976289215693825,0.014408439841842924,1.1650105138401412,0.2949982102786127,-0.0006237414891026027,1.0760173488180427,0.646484375,3,3.4207464242354035,0.5769655197565039,0.0001275965792046918,0.0,,,False,False,False,True,False,binary_h9_shortcut
rgcn_h6_baseline,2,ood_mixed,512,0.890625,0.6901215121690121,0.06463018444172337,0.8137570519138315,0.28835754171444206,0.7398759748191299,0.7364637340317495,0.9105029942042481,1.0,0.8467106757637819,1.8817973439623148,1.871840556772698,0.041340073928457066,-0.05230525097289629,0.029813042321762406,1.8519843016405524,0.4677080417294689,-0.05230525097289629,1.126539508915556,0.671875,4,3.61813657078892,0.8836174046248094,1.9625666508593653e-08,0.0,,,False,False,False,True,False,binary_h9_shortcut
rgcn_h6_baseline,2,val,512,0.8828125,0.6950353482758806,0.036106948392096605,0.8281518137584165,0.31245353213169286,0.7290103573977279,0.7566151427822898,0.9113382305972533,1.0,0.8492409326943178,1.9019369533883022,1.8956216412157105,0.010999675871063097,-0.0007217819557898686,0.0010779900112374285,1.8905810694617915,0.47548423834707554,-0.0007217819557898686,1.0811186028338462,0.658203125,4,3.651698991190642,0.9014801585357923,2.277634142400231e-08,0.0,,,False,False,False,True,False,binary_h9_shortcut
rgcn_h6_baseline,3,ood_mixed,512,0.861328125,0.21650644294398594,0.050817038452579046,0.24561516909813105,0.32308821317969166,0.5851197053406998,0.5939425496832422,0.6251712190798485,0.6405783757054921,0.6112029624523206,0.16738320995617428,0.1592841372944509,0.014875193203196524,-0.006619199849843049,0.04469485379554161,0.1144323628072792,0.04184580248904357,-0.006619199849843049,0.6934712940204993,0.845703125,3,5.13664407748729,0.30131755319325565,4.262014817457693e-09,0.0,,,False,False,True,False,False,soft_middle_step
rgcn_h6_baseline,3,val,512,0.85546875,0.14147410504903718,0.13030605246339977,0.06354572648692318,0.30805500572427963,0.5820519988817445,0.5777990125816213,0.5684119594951289,0.5712454212454212,0.574877098050979,0.09122032335701569,0.0823402569129632,0.03210416943037586,-0.017290332430885513,-0.0011881525474679577,0.0775946389049933,0.02280508083925392,-0.017290332430885513,0.7373794014920083,0.8515625,4,5.117240338586271,0.31781831615474115,5.605904886130109e-09,0.0,,,False,False,True,False,False,soft_middle_step
rgcn_h6_baseline,4,ood_mixed,512,0.853515625,0.6967723505971594,-0.02533453193849505,0.7855370306530107,0.10538051634819794,0.7417457483792164,0.7482166102577453,0.8986684880744893,1.0,0.8471577116778628,2.8203489462773605,2.7672498446937945,-0.005302015442086194,0.025979228091962625,-0.07178640831410377,2.8203489462773605,0.6923099376532833,-0.07178640831410377,1.5666623932565056,0.5625,5,5.098171408288181,1.3519210838024274,1.0745416664308626e-12,0.0,,,False,False,False,True,False,binary_h9_shortcut
rgcn_h6_baseline,4,val,512,0.859375,0.7497254347507373,0.046133856966919226,0.8264585640160212,0.1275979786443431,0.7707229928541404,0.7768155837204412,0.9090790383285967,1.0,0.8641544037257946,2.79503463254012,2.7570707236778285,0.0878440756752541,-0.0775050223796363,-0.042820549079642944,2.79503463254012,0.6906382841890237,-0.0775050223796363,1.5309673773461798,0.5625,5,5.151095143985003,1.3681503052145396,9.559830674676201e-13,0.0,,,False,False,False,True,False,binary_h9_shortcut
rgcn_h6_baseline,5,ood_mixed,512,0.845703125,0.7082482016588727,-0.03674411575233792,0.8119545565002473,0.23979782814993694,0.7208394808305001,0.731103053214265,0.9220563066245858,1.0,0.8434997101673377,0.9042962241778274,0.9024214784761284,0.001955405804289434,0.0002015829086303711,0.005227839946746915,0.8969113955181607,0.22607405604445685,0.0002015829086303711,0.9089103274103589,0.67578125,2,3.2982539031654596,0.45573138511082173,0.013629564986331388,0.0,,,False,False,False,True,False,binary_h9_shortcut
rgcn_h6_baseline,5,val,512,0.888671875,0.7089231536527384,-0.005803806291616063,0.7929824092552278,0.3558588195135396,0.7269250434604765,0.7280344202898551,0.9180162890844411,1.0,0.8432439382086931,0.9076047701246281,0.9020661925480309,0.009797397616175818,-0.017350783628575783,0.014891039133071882,0.8927137309915563,0.22501284602805705,-0.017350783628575783,0.9153743173654711,0.685546875,3,3.2928033424541354,0.45107410382079066,0.013768230382993352,0.0,,,False,False,False,True,False,binary_h9_shortcut
